제번,고객사,설계,제작처,품명,제품,제품종류,금형사이즈,재질,자재사이즈,제품사이즈,구조,SET,공정
TK12001,광원,,자사,BASE UNDER,,태양광,1480 X 780 X 463.2,,422(W) X 196(P) X 1.2T,"85.0 X 405.0 X 41.4(L)
95.0 X 405.0 X 41.4®",PRO,1,PRO
TK12002,강해,자사,자사,BLANKING,,태양광,450 X 470 X 229,,106(W) X 101(P) ,95.8 X 95.8,PRO,1,PRO
TK12003,광원,,자사,COVER TOP,,태양광,2500 X 1050 X 520.4,,635(W) X 520(P) X 0.4T,497.2 X 587 X 16.6,PRO,1,PRO
TK12004,성진금형,,자사,BKT RAIL,,태양광,600 X 800 X 435,SGCC,406(W) X 85(P) X 1.2T,70.0 X 380.0 X 6.0,PRO,1,PRO
TK12005,성진금형,,자사,BKT ROLLER LEVELER,,태양광,1550 X 1170 X 580,SGCC,"745(W) X 127(P) X 2.0T
775(W) X 127(P) X 2.0T","735.0 X 50.0 X 40.7
778.0 X 50.0 X 40.7",PRO,1,PRO
TK12006,성진금형,,자사,PLATE (MIDDLE) VERT 오메가2,,태양광,1430 X 1350 X 580,SECC,930(W) X 86(P) X 0.8T,886.3 X 34.5 X 18.2,PRO,1,PRO
TK12007,광원,,자사,CABINET-F(OP20),,태양광,1400 X 1040 X 645,,850 X 1060 X 1.0T,869.6 X 686 X 70.26,단발 1공정,1, TRIM / PIER 
TK12008,성진금형,,자사,CASE-I,,콤프,2100 X 650 X 500,AL,,1782.0 X 451.3 X 8.0,단발 1공정,1,NOTCH
TK12009,성진금형,,자사,Fix H,,콤프,460 X 440 X 320,SPCC,88(W) X 25(P) X 2.0T,20 X 32.5 X 23.6,PRO,1,PRO
TK12010,세일,,자사,"DOOR-PLATE-290-RECESS
(OP20,30)",,콤프,"2100 X 1000 X 520 (20,30)",,"584 X 716.2 X 0.4T
1086 X 716.2 X 0.4T","546.9 X 598.9 X 54.7
1010.9 X 598.9 X 54.7",단발 2공정,, BEND * BEND
TK12011,성진금형,,자사,42 BACK COVER,,콤프,2100 X 1400 X 580 (10~40),,580 X 993 X 0.4T,851.2 X 438.1 X 25,단발 4공정,4,DRAW * PIER / TRIM * PIER / BEND * CURL / MARK
TK12012,에이텍,,자사,CHASSIS COMP,,청소기,2400 X 1150 X 600,,692(W) X 260(P) X 0.8T, 588.8 X 192.1 X 43.3,PRO,1,PRO
TK12013,탑스코,자사,자사,RAIL,,청소기,"750 X 300 X 265 (10)
580 X 300 X 245 (20,30)",,,381 X 39.3 X 14.1,단발 3공정,3,PIER / LAN * PIER / NOTCH * BEND
TK12014,광원,자사,자사,CABINET F LOWER,,청소기,680 X 960 X 520,PCM,606(W) X 72(P) X 1.0T, 590 X 52.7 X 26.5,PRO,1,PRO
TK12015,광원,자사,자사,FRAME COVER,,청소기,1260 X 1000 X 454.4,,650(W) X 104(P) X 1.4T,75 X 588 X 14.1,PRO,1,PRO
TK12016,광원,자사,자사,CABINET F UPPER,,청소기,800 X 1000 X 540,,630(W) X 45(P) X 1.2T,65.6 X 588.1 X 48.1,PRO,1,PRO
TK12017,프로텍,,자사,24K MOUNTING PLATE,,청소기,2900 X 1250 X 650,SGCC,848(W) X 322(P) X 0.8T,801.6 X 276.7 X 30.8,PRO,1,PRO
TK12018,프로텍,,자사,12K MOINTING PLATE,,청소기,2900 X 1050 X 650,SGCC,648(W) X 322(P) X 0.8T,601.6 X 276.7 X 30.8,PRO,1,PRO
TK12019,세일,,자사,"F700 FRAME-WASHER
(OP20)",,청소기,2450 X 1380 X 690,,2164.7 X 827 X 0.6T,2159.4 X 782.6 X 59.4,단발 1공정,1,BEND
TK12020,세일,,자사,AW-4D-DOOR PLATE,,중문 손잡이,"1400 X 900 X 610 (10,20,40)
1400 X 900 X 602 (30)","STS, PCM",1091.5 X 545 X 0.5T,907.4 X 222.6 X 101.8,단발 4공정,4,TRIM / PIER * BEND * BEND * 3D BEND
TK12021,광원,,자사,FRAME TOP LR,,제습기,1350 X 970 X 480,GI,204(W) X 54(P) X 4.0T,558 X 60 X 52.6,PRO,1,PRO
TK12022,광원,,자사,FRAME LOWER,,제빙기,1700 X 1030 X 480,GI,656(W) X 180(P) X 1.2T,616 X 146.1 X 23.4,PRO,1,PRO
TK12023,광원,,자사,FRAME UPPER,,제빙기,"1380 X 1080 X 479 (10)
500 X 320 X 380 (20)
920 X 300 X 380 (30)",GI,715(W) X 115(P) X 2.0T,617 X 93 X 54.9,"SEMI PRO /
단발 2공정",3,SEMI PRO * UP BEND * PIER / BURR / DOWN BEND
TK12024,광원,,자사,FRAME COVER,,제빙기,1080 X 1050 X 480,GI,681(W) X 98(P) X 1.4T,620 X 75 X 14.9,PRO,1,PRO
TK12025,세일,,자사,"F700 FRAME-WASHER
(OP20)",,전자레인지,2450 X 1080 X 490,,2164.7 X 822 X 0.6T,2159.5 X 782.6 X 59.4,단발 1공정,1,BEND
TK12026,프로텍,,자사,50X60 BACK PANNEL,,전자,1300 X 1000 X 500,GI,623(W) X 492(P) X 0.6T,482.6 X 607.3 X 46.4,PRO,1,PRO
TK12027,프로텍,,자사,60X60 BACK PANNEL,,전자,1500 X 1000 X 500,GI,623(W) X 592(P) X 0.6T,582.6 X 607.3 X 46.4,PRO,1,PRO
TK13001,세일,,자사,"(32inch)
 BOTTOM PLATE(OP30)",,전자,1650 x 1100 x ,,,,단발 1공정,1,
TK13002,성진금형,자사,자사,HINGE UP(HB),,전자,600 x 480 x440,SAPH,163(W) X 70(P) X 3.0T,92.5 X 60 X 14.5,PRO,1,PRO
"TK13003A,B",성진금형,자사,자사,HINGE UP LH,,전자,800 X 540 X 440,SAPH,198(W) X 76(P) X 3.0T,198(W) X 76(P) X 3.0T,PRO,1,PRO
TK13004,성진금형,자사,자사,PLATE MIDDLE,,전자,1480 X 1350 X 530,SECC,970(W) X 122(P) X 0.8T,64.5 X 929.5 X 9.3,PRO,1,PRO
TK13005,성진금형,자사,자사,PLATE VERTICAL A,,전자,1280 X 1390 X 530,SECC,970(W) X 102(P) X 0.8T,44.5 X 938 X 9.3,PRO,1,PRO
TK13006,성진금형,자사,자사,PLATE VERTICAL B,,전자,1430 X 1200 X 530,SECC,798(W) X 102(P) X 0.8T,44.5 X 755.7 X 9.3,PRO,1,PRO
TK13007,프로텍,,자사,CH TAP PLATE LR,,전자,760 X 600 X 500,SGCC,246(W) X 56(P) X 1.6T,100 X 46 X 50,PRO,1,PRO
TK13008,프로텍,,자사,LEG HOLDER LR,,전자,760 X 660 X 500,SGHC,546(W) X 72(P) X 1.6T,129.5 X 37 X 15.7,PRO,1,PRO
TK13009,프로텍,,자사,HEATER COVER,,전자,750 X 650 X 440,ZNAL,327(W) X 54(P) X 0.3T,298 X 33.5 X 20.3,PRO,1,PRO
TK13010,프로텍,,자사,UPPER HINGE R,,전자,750 X 520 X 500,SAPH,142(W) X 72(P) X 3.2T,121.1 X 59.6 X 13,PRO,1,PRO
TK13011,프로텍,,자사,BOTTOM HINGE R,,전자,930 X 500 X 500,SAPH,122(W) X 90(P) X 4.0T,81.6 X 57.2 X 23,PRO,1,PRO
TK13012,프로텍,,자사,DRYER SUPPORT,,전자,700 X 620 X 440,SGCC,118(W) X 25(P) X 0.5T,39 X 20 X 18,PRO,1,PRO
"TK13013A,B",세일,,자사,DOOR PLATE (OP20),,전자,2100 X 1000 X 520,,"674 X 545 X 0.4T
674 X 1085 X 0.4T","507.9 X 553.9 X 55
1049.9 X 553.9 X 55",단발 1공정,1,BEND
TK13014,아반테크,,자사,72531-X1B04,,전자,"2765 X 790 X 700 (10)
720 X 660 X 400 (20)",SPFH,377(W) X 200(P) X 3.2T,303.4 X 194 X 77.1," SEMI PRO/
단발 1공정",2, SEMI PRO * CAM PIER
TK13015,HSM,,자사,"79184_5HA0A_RET-RR 
BMPR SIDE LH RH",,전자,1200 X 800 X 490,SGACC,375(W) X 90(P) X 0.75T,137.8 X 76.1 X 33.5,PRO,1,PRO
TK13016,HSM,,자사,80114_5HA0A_AA_007,,전자,1290 X 660 X 490,SGACC,305(W) X 129(P) X 0.6T,106.8 X 270.2 X 24.5,PRO,1,PRO
TK13017,HSM,,자사,63183_5BA0A_AA_002,,전자,910 X 650 X 470,SGACC,192(W) X 40(P) X 1.0T,175.5 X 38.7 X 29.2,PRO,1,PRO
TK13018,프로텍,,자사,K44L-WAVE GUIDE,,전자,1800 X 630 X 530,SECC,200(W) X 230(P) X 0.5T,113 X 139 X 39,PRO,1,PRO
TK13019,성진금형,자사,자사,HINGE UP,,전자,720 X 490 X440,SAPH,163(W) X 76(P) X 3.0T,88.5 X 150 X 30.4 ,PRO,1,PRO
TK13020,광원,,자사,SUPPORT MIDDLE 콕킹금형,,전자,900 X 160 X 400,SGCC,,949 X 41 X 30.2,단발 1공정,1,
TK13021,성진금형,,자사,BRKT DOOR 콕킹금형,,전자,750 X 200 X 400,SGCC,,876 X 39 X 47.9,단발 1공정,1,
TK13022,광원,,자사,BRACKET HINGE UPP,,전자,500 X 530 X 416,GI,179(W) X 43(P) X 2.0T,150.4 X 30 X 20,PRO,1,PRO
TK13023,광원,,자사,BKT-INNER CASE,,전자,450 X 450 X 425.2,GI,88(W) X 62(P) X 1.2T,57.8 X 50 X 12,PRO,1,PRO
TK13024,아반테크,,자사,U306-1080,,전자,"1220 X 760 X 450 (10)
1260 X 780 X 450 (20)
1240 X 720 X 450.8 (30)",,898 X 482.4 X 0.8T,652 X 464 X 226.2,단발 3공정,3,FORM * PI / NO / MARK / BURR * BEND
TK13025,아반테크,,자사,471754-10920,,전자,"610 X 580 X 317 (10)   680 X 390 X 410 (20)
550 X 330 X 430 (30)   540 X 340 X 390 (40)
540 X 340 X 390 (50)",SPC,308(W) X 125(P) X1.2T,245.4 X 96.4 X 61.7,"SEMI PRO/
단발 4공정",5,SEMI PRO * BEND * NOTCH / PIER * BEND * PIER / REST
TK13026,광원,자사,자사,채반,,전자,"1150 X 770 X 540 (10)
1180 X 800 X 540 (20)
1150 X 770 X 540 (30~50)",,807 X 567 X 0.5T,720 X 480 X 45,단발 5공정,5,DRAW * NOTCH / PIER * BEND / PIER * 45ºBEND / PIER * HEMM / FORM
TK13027,광원,자사,자사,PLATE DUCT,,전자,"1920 X 980 X 580 (10)
1800 X 900 X 530 (20 (25,17.5))
1840 X 860 X 460 (30)",GI,"1531 X 735.2 X 0.6T
1516 X 720.2 X 0.6T",1480 X 688 X 17.5,단발 4공정,4,NOTCH / PIER / BURR * UP-BEND(25) * UP-BEND(17.5) * LO-BEND
TK13028,세일,자사,자사,BACK BODY,,전자,940 X 760 X 480,,,584 X 588 X 53,단발 1공정,1,
TK13029,정명,자사,자사,"(L3C19-T)
PLATE BAFFLE",,전자,530 X 610 X 420,SPCC,275(W) X 74(P) X 0.6T,64.3 X 254.6 X 4.6,PRO,1,PRO
TK13030,정명,자사,자사,"(L4C25-T)
PLATE BAFFLE",,전자,530 x 710 x 420,SPCC,376(W) X 74(P) X 0.6T,64.3 X 355.6 X 4.6,PRO,1,PRO
TK13031,프로텍,,자사,DOOR PLATE,,전자,"760 X 680 X 401.5 (10)
730 X 640 X 401.5 (20)",VCM,380 X 390.8 X 0.6T,368.7 X 383.5 X 8.9,단발 2공정,2,NOTCH *  BEND
TK13032,프로텍,,자사,TOP PLATE,,전자,"800 X 680 X 477 (10)
800 X 680 X 483 (20,30)
800 X 680 X 480 (40)",SUS,352.3 X 350.2 X 0.4T,352.3 X 331.6 X 15,단발 4공정,4,FORM / PIER / NOTCH * PIER / NOTCH * PIER / BEND / EMBO * BEND / FORM
TK13033,광원,,자사,GEAR PROTECTOR,,전자,"890 X 950 X 580 (10)
780 X 270 X 400 (20)",SGCC,590(W) X 93(P) X 1.2T,274 X 60 X 153,"SEMI PRO / 
단발 1공정",2,SEMI PRO * BEND
TK13034,아반테크,,자사,BODY CASE (H161-0102),,전자,1300 X 1000 X 520 (10~30),SGCD2 MO F04,948.8 X 809.5 X 0.8T,932.4 X 769.5 X 24.8,단발 3공정,3,NOTCH / FORM * NOTCH / PIER / BURR / BEND / EMBO / MARK * CAM BEND / BEND
TK13035,세일,,자사,DRUM FRONT,,전자,"1300 X 1150 X 700 (10)   1350 X 1100 X 550 (20)
  1200 X 950 X 550 (30,60)    1100 X 700 X 550 (40)  1050 X 800 X 550 (50) ",SECC,830 X 875 X 1.0T,727.4 X 654 X 113.7,단발 6공정,6,"DRAW * RE DRAW * TRIM / PIE / UP, DOWN BURR * SIDE PIE / BURR * SIDE PIE / SIDE BEND * BEND"
TK13036,아반테크,,자사,BODY CASE (U322-0101),,전자,"1460 X 1000 X 520 (10)
1460 X 1020 X 520 (20)
1490 X 1020 X 520 (30)",SGCD2 MO F04,1154.5 X 852.7 X 0.8T,819.5 X 685 X 216.5 ,단발 3공정,3,FORM / MARK * NOTCH / PI / BURR * BEND
TK13037,세일,,자사,ANGLE SHELF REF SEMI,,전자,"800 X 800 X 495 (10)   640 X 390 X 495 (20)
670 X 450 X 495 (30)   640 X 350 X 495 (40)",,319(W) X 54(P) X 2.5T,27 X 282.5 X 18.1,"SEMI PRO / 
단발 2공정",3,SEMI PRO * PIER * CHAMFER
TK13038,세일,,자사,TOP COVER (OP70),,전자,1600 X 1400 X 540,,,,단발 1공정,1,
TK13039,기린,자사,자사,"(FDSR)
STOPPER DOOR REF",,전자,900 X 490 X 460,SHP,107(W) X 75(P) X 3.0T,63 X 36.3 X 12,PRO,1,PRO
TK13040,기린,자사,자사,"(FDSR)
HINGE REF LOW",,전자,1300 X 500 X 461,SHP,144(W) X 85(P) X 4.0T,64 X 67.3 X 17,PRO,1,PRO
TK14001,세일,세일,자사,DRUM FRONT,,전자,"1400 X 1200 X 600 (10)   1400 X 1140 X 600 (20)
1300 X 1000 X 600 (30)   1180 X 850 X 600 (40)
1200 X 850 X 600 (50)   1200 X 920 X 600 (60)",SECC,850 X 900 X 1.0T,721 X 655 X 86,단발 6공정,6,CUTT / DRAW * RE-DRAW * TRIM / PIE / FORM * SIDE CAM CUT / FORM * PIER / BURR / BEND * BURR / BEND / FLANGE UP
TK14002,프로텍,자사,자사,PLATE HOME BAR,,전자,"820 X 680 X 480 (10)
790 X 640 X 480 (20)",SUS,390.3 X 388 X 0.6T,368.7 X 383.5 X 8.9,단발 2공정,2,NOTCH * BEND
